iter	RMSE
0	14.65626311
1	14.28255488
2	13.90991851
3	13.55052236
4	13.21908814
5	12.91311637
6	12.5945972
7	12.28023398
8	12.01605857
9	11.74307248
10	11.4582558
11	11.20591969
12	10.94645961
13	10.7060794
14	10.46608837
15	10.25052558
16	10.03749081
17	9.835384754
18	9.630962569
19	9.430479941
20	9.255972635
21	9.086212657
22	8.909607366
23	8.770692985
24	8.619482681
25	8.526943963
26	8.386181885
27	8.251590538
28	8.111272544
29	7.994295275
30	7.87193975
31	7.771258801
32	7.667513936
33	7.561627088
34	7.454254902
35	7.358216353
36	7.268091331
37	7.182972807
38	7.108586081
39	7.024043841
40	6.952882706
41	6.879620099
42	6.807369874
43	6.739821538
44	6.672645492
45	6.619553781
46	6.552904294
47	6.491252065
48	6.435395137
49	6.378050504
50	6.327163312
51	6.277605751
52	6.231118872
53	6.198902829
54	6.154094646
55	6.116168353
56	6.085507074
57	6.043383715
58	6.008572295
59	5.97510207
60	5.946733111
61	5.915373883
62	5.885167252
63	5.853940686
64	5.82663436
65	5.801295007
66	5.783917612
67	5.759824251
68	5.736307004
69	5.716383012
70	5.695395677
71	5.667601883
72	5.643171356
73	5.623188174
74	5.60610548
75	5.586551715
76	5.570576184
77	5.556068532
78	5.543736629
79	5.525728616
80	5.511903334
81	5.50085913
82	5.494409124
83	5.488514338
84	5.473308359
85	5.460672285
86	5.445379041
87	5.43338109
88	5.420685238
89	5.412578883
90	5.396291021
91	5.386516071
92	5.377604687
93	5.368771494
94	5.358289225
95	5.349153103
96	5.340578153
97	5.332685832
98	5.323051769
99	5.313543113
100	5.305217312
101	5.300474627
102	5.290249328
103	5.284265201
104	5.279012177
105	5.2690329
106	5.264620732
107	5.257790862
108	5.249331797
109	5.243788456
110	5.235552452
111	5.231679497
112	5.224695628
113	5.217703411
114	5.21139675
115	5.207192543
116	5.203107716
117	5.198806456
118	5.194111934
119	5.189157308
120	5.185382106
121	5.180761278
122	5.178914894
123	5.174506588
124	5.167786662
125	5.163203058
126	5.159420024
127	5.155726921
128	5.150230573
129	5.144499489
130	5.140636342
131	5.134500034
132	5.129831548
133	5.128680647
134	5.12507918
135	5.122340608
136	5.118911522
137	5.117500272
138	5.115622946
139	5.113449036
140	5.10856638
141	5.105662294
142	5.103496714
143	5.099120874
144	5.096447725
145	5.090348945
146	5.086649461
147	5.083110668
148	5.080983716
149	5.078568189
150	5.07529851
151	5.071498008
152	5.067388473
153	5.063615931
154	5.061077699
155	5.058610793
156	5.057642364
157	5.054401946
158	5.052132848
159	5.048701393
160	5.045343179
161	5.042510959
162	5.040918003
163	5.035894006
164	5.032789597
165	5.030932229
166	5.025277798
167	5.023076914
168	5.018687757
169	5.017903827
170	5.01399919
171	5.010407623
172	5.005147521
173	4.999943374
174	4.996304017
175	4.990860164
176	4.986445698
177	4.98469999
178	4.983440954
179	4.980137868
180	4.977392261
181	4.973612659
182	4.968511025
183	4.966613287
184	4.961903013
185	4.960712952
186	4.95649071
187	4.954013002
188	4.951357975
189	4.947120453
190	4.945193215
191	4.942626643
192	4.940241624
193	4.935261407
194	4.930179759
195	4.928649584
196	4.926425375
197	4.922074599
198	4.920785247
199	4.914938747
200	4.914768501
201	4.912965167
202	4.910255298
203	4.908082123
204	4.905422733
205	4.903101861
206	4.898997799
207	4.896159737
208	4.892993621
209	4.890292159
210	4.888053018
211	4.88415608
212	4.881784236
213	4.879837957
214	4.878644399
215	4.87740047
216	4.872575207
217	4.871421996
218	4.870395039
219	4.864880356
220	4.864491666
221	4.861546938
222	4.859927212
223	4.858835639
224	4.854097689
225	4.852223788
226	4.84766974
227	4.84676918
228	4.845914534
229	4.842794672
230	4.842217064
231	4.841788762
232	4.840106136
233	4.839303254
234	4.837044846
235	4.836322396
236	4.833589655
237	4.8331996
238	4.829649502
239	4.825647362
240	4.823769188
241	4.82336888
242	4.821701278
243	4.819532186
244	4.818868237
245	4.817273897
246	4.814554411
247	4.812284391
248	4.809454606
249	4.807327209
250	4.805759585
251	4.80377472
252	4.799347442
253	4.797327808
254	4.795307194
255	4.791847954
256	4.789256906
257	4.787463981
258	4.783956092
259	4.782759131
260	4.778981721
261	4.77832604
262	4.774109633
263	4.772471058
264	4.770378148
265	4.766358599
266	4.763589778
267	4.762212419
268	4.757549694
269	4.754385209
270	4.754070202
271	4.752795545
272	4.750763647
273	4.750121672
274	4.747691619
275	4.744314586
276	4.742791936
277	4.741633279
278	4.739738268
279	4.736403462
280	4.733451851
281	4.730177241
282	4.727634975
283	4.725702899
284	4.724463685
285	4.718018313
286	4.717412266
287	4.716828614
288	4.714701024
289	4.713139628
290	4.708676927
291	4.708062808
292	4.70430879
293	4.700420677
294	4.699775624
295	4.697300006
296	4.693673515
297	4.689817229
298	4.687170636
299	4.681503406
300	4.677420573
301	4.675537772
302	4.67173128
303	4.670006137
304	4.666636255
305	4.664351401
306	4.663524402
307	4.662688516
308	4.659852894
309	4.656824059
310	4.655656634
311	4.653924461
312	4.653797045
313	4.650785192
314	4.648708622
315	4.642682641
316	4.639536072
317	4.636163315
318	4.632717559
319	4.631840766
320	4.630087376
321	4.62632669
322	4.625247545
323	4.623512575
324	4.61931087
325	4.619090471
326	4.618546082
327	4.618068866
328	4.616506465
329	4.614096651
330	4.612988029
331	4.612524956
332	4.609728307
333	4.606818862
334	4.606644639
335	4.604986849
336	4.601593831
337	4.601442621
338	4.598905355
339	4.596050275
340	4.593806313
341	4.590684812
342	4.589296002
343	4.589168942
344	4.587183263
345	4.587015144
346	4.586812742
347	4.58104706
348	4.577889516
349	4.577800227
350	4.577648974
351	4.57648749
352	4.573591407
353	4.570164736
354	4.568034616
355	4.566963237
356	4.565077338
357	4.564940714
358	4.56317284
359	4.562319457
360	4.560693494
361	4.556764874
362	4.55392044
363	4.551243132
364	4.548950325
365	4.54610551
366	4.541221939
367	4.540953756
368	4.539556115
369	4.539193918
370	4.537675918
371	4.535800278
372	4.532971604
373	4.531383333
374	4.530515496
375	4.526820331
376	4.525245317
377	4.522986277
378	4.517922194
379	4.514029171
380	4.510446414
381	4.507859103
382	4.505634907
383	4.504442873
384	4.501883762
385	4.500042701
386	4.499513723
387	4.495661438
388	4.494292773
389	4.494203999
390	4.493875886
391	4.492383164
392	4.490119584
393	4.486675764
394	4.483540045
395	4.481453982
396	4.480633144
397	4.478959394
398	4.476224839
399	4.474258395
400	4.471645709
401	4.465260121
402	4.465145567
403	4.461992627
404	4.460608639
405	4.460305606
406	4.457097307
407	4.454344981
408	4.453334037
409	4.45046133
410	4.449899358
411	4.448558673
412	4.447746691
413	4.446879523
414	4.443363711
415	4.44010622
416	4.438826262
417	4.435792476
418	4.434158124
419	4.432753469
420	4.430199379
421	4.424323147
422	4.421935964
423	4.420493789
424	4.419121021
425	4.418176351
426	4.416687797
427	4.416125341
428	4.412057942
429	4.411951435
430	4.41021446
431	4.410133298
432	4.408298184
433	4.405863262
434	4.400674341
435	4.399245501
436	4.397625882
437	4.392746652
438	4.391325602
439	4.386380772
440	4.381072285
441	4.37911534
442	4.378093458
443	4.376679777
444	4.37480025
445	4.372582758
446	4.369645562
447	4.366600033
448	4.366244914
449	4.363487002
450	4.361693294
451	4.359974552
452	4.358516247
453	4.357280628
454	4.353324821
455	4.352187357
456	4.348593139
457	4.347110179
458	4.346243073
459	4.342171766
460	4.339293778
461	4.336974912
462	4.332438531
463	4.329625798
464	4.326112219
465	4.323275161
466	4.321500355
467	4.320642583
468	4.317651608
469	4.317453551
470	4.313300799
471	4.312282355
472	4.311449668
473	4.309863428
474	4.30637816
475	4.304242434
476	4.301623389
477	4.298900258
478	4.296950929
479	4.294463979
480	4.292688648
481	4.292013847
482	4.290111162
483	4.289451906
484	4.287879079
485	4.286775057
486	4.285810531
487	4.285524115
488	4.285128086
489	4.284435487
490	4.284312308
491	4.282948107
492	4.280488146
493	4.276580519
494	4.275834417
495	4.274501965
496	4.271797134
497	4.269992883
498	4.267865951
499	4.267738318
500	4.266413871
501	4.265488291
502	4.26192224
503	4.260350743
504	4.2601908
505	4.258210973
506	4.255871852
507	4.254301273
508	4.253584281
509	4.251181874
510	4.250498818
511	4.24784294
512	4.244215217
513	4.241889532
514	4.240732403
515	4.238201309
516	4.23812467
517	4.235276928
518	4.23467818
519	4.231386039
520	4.231361868
521	4.230793504
522	4.228803777
523	4.225979813
524	4.225099635
525	4.224365205
526	4.222286923
527	4.221042135
528	4.219878233
529	4.217880806
530	4.216312955
531	4.214217679
532	4.209914191
533	4.20874682
534	4.207695069
535	4.206020881
536	4.204900415
537	4.203981156
538	4.203784324
539	4.202261425
540	4.200456145
541	4.196150075
542	4.195320169
543	4.19465168
544	4.192296713
545	4.191970476
546	4.190876893
547	4.19069016
548	4.189304915
549	4.188431536
550	4.183580624
551	4.180834283
552	4.179360068
553	4.178144371
554	4.17523077
555	4.173959906
556	4.172290696
557	4.169254733
558	4.168089172
559	4.166761903
560	4.165889423
561	4.165382249
562	4.16416819
563	4.162759851
564	4.161425004
565	4.159326285
566	4.158894436
567	4.157519896
568	4.15646217
569	4.15513396
570	4.153733151
571	4.153228823
572	4.152097169
573	4.147799965
574	4.146908358
575	4.146527009
576	4.143137361
577	4.142597046
578	4.140342233
579	4.138850568
580	4.13758774
581	4.135038392
582	4.133201902
583	4.132707638
584	4.130741908
585	4.130243279
586	4.129494066
587	4.129041024
588	4.126512691
589	4.12619494
590	4.124520686
591	4.123139266
592	4.121717833
593	4.121011127
594	4.118984957
595	4.118150273
596	4.115037613
597	4.112730555
598	4.112459668
599	4.11177301
600	4.110661231
601	4.108560918
602	4.106796953
603	4.105534944
604	4.102331778
605	4.100646356
606	4.099788871
607	4.099735798
608	4.09665972
609	4.096098583
610	4.095713903
611	4.095358223
612	4.093150701
613	4.092560615
614	4.091517466
615	4.091167511
616	4.0907573
617	4.088419952
618	4.086610818
619	4.086553137
620	4.084618546
621	4.084032346
622	4.083882936
623	4.079904843
624	4.078045127
625	4.076914208
626	4.074400559
627	4.072219844
628	4.071258029
629	4.069836316
630	4.068261616
631	4.067889148
632	4.067612736
633	4.066738472
634	4.066033423
635	4.064722683
636	4.0603293
637	4.059383456
638	4.058430021
639	4.056418158
640	4.055616292
641	4.05436292
642	4.054005577
643	4.05053105
644	4.049609264
645	4.047616727
646	4.044905321
647	4.04432642
648	4.044207211
649	4.041966349
650	4.041742419
651	4.041342898
652	4.037228261
653	4.035933208
654	4.035788236
655	4.034627231
656	4.032329518
657	4.031474783
658	4.028253315
659	4.026778368
660	4.026582997
661	4.02348166
662	4.021231402
663	4.019938245
664	4.019701596
665	4.018835938
666	4.016949323
667	4.016523626
668	4.013323859
669	4.0113013
670	4.008947902
671	4.007197947
672	4.004985614
673	4.004099383
674	4.003913393
675	4.001364899
676	3.999670853
677	3.998374414
678	3.997387939
679	3.996709692
680	3.996176355
681	3.993760587
682	3.992767276
683	3.98963996
684	3.985875707
685	3.981705016
686	3.978599256
687	3.978339583
688	3.977768982
689	3.975111761
690	3.974270645
691	3.970711107
692	3.968974053
693	3.967907304
694	3.967851483
695	3.967516962
696	3.96674017
697	3.966279636
698	3.965773449
699	3.965038895
700	3.964765729
701	3.963816008
702	3.962679514
703	3.961615627
704	3.961587765
705	3.960406212
706	3.959737978
707	3.958440421
708	3.956581966
709	3.955886877
710	3.955217419
711	3.954270838
712	3.953940642
713	3.953774057
714	3.953739567
715	3.952245545
716	3.949399104
717	3.948669504
718	3.948428687
719	3.948311177
720	3.948276484
721	3.947204141
722	3.946283124
723	3.94387635
724	3.94201204
725	3.939626736
726	3.939096267
727	3.938773572
728	3.936365498
729	3.935500597
730	3.93502895
731	3.933777202
732	3.932875638
733	3.931962972
734	3.930575664
735	3.929723742
736	3.928660497
737	3.925284855
738	3.923216327
739	3.921336716
740	3.919774704
741	3.919403386
742	3.916160575
743	3.915569646
744	3.913638522
745	3.912032807
746	3.910629717
747	3.907003412
748	3.906032368
749	3.905695478
750	3.902277677
751	3.900312753
752	3.898923139
753	3.896995591
754	3.89623349
755	3.894576822
756	3.893273581
757	3.891896421
758	3.890967389
759	3.890134134
760	3.889909759
761	3.886977236
762	3.885824466
763	3.885032699
764	3.884458876
765	3.883901296
766	3.883874368
767	3.881352067
768	3.878612298
769	3.877999444
770	3.876421611
771	3.875484384
772	3.874475605
773	3.871542872
774	3.87053452
775	3.869759938
776	3.869715699
777	3.868911322
778	3.868199265
779	3.868129536
780	3.867362831
781	3.86447381
782	3.862952613
783	3.862787147
784	3.862364451
785	3.860328669
786	3.855499278
787	3.854787752
788	3.852151129
789	3.849551962
790	3.848222421
791	3.846419328
792	3.846260662
793	3.846190785
794	3.84446708
795	3.844074948
796	3.843135887
797	3.842312338
798	3.839730666
799	3.838305534
800	3.837588814
801	3.836827526
802	3.83480821
803	3.832020694
804	3.83125881
805	3.830376129
806	3.827980435
807	3.824301768
808	3.8239577
809	3.823796511
810	3.821274632
811	3.819804772
812	3.817503179
813	3.816161416
814	3.815771286
815	3.814799932
816	3.814098771
817	3.813340789
818	3.812921685
819	3.810035313
820	3.809595003
821	3.809135054
822	3.80907091
823	3.807760785
824	3.805670336
825	3.802680356
826	3.802573754
827	3.801560289
828	3.801354343
829	3.800795136
830	3.798594369
831	3.797179528
832	3.796939913
833	3.796524803
834	3.793886851
835	3.792422054
836	3.791735291
837	3.790360549
838	3.789449993
839	3.788903485
840	3.787703484
841	3.786225917
842	3.785268288
843	3.783510098
844	3.782200008
845	3.782106371
846	3.781863813
847	3.780463636
848	3.779849723
849	3.778763929
850	3.778509832
851	3.778395032
852	3.777254291
853	3.776975633
854	3.774916246
855	3.774419505
856	3.774112843
857	3.773398822
858	3.769657255
859	3.768247861
860	3.767341614
861	3.765996059
862	3.765302171
863	3.764982666
864	3.764661145
865	3.761148255
866	3.760192892
867	3.759239241
868	3.758859592
869	3.758565204
870	3.758541566
871	3.75820601
872	3.757458786
873	3.756946893
874	3.75626727
875	3.754680271
876	3.751883195
877	3.751027628
878	3.749771935
879	3.749388743
880	3.7484329
881	3.745570097
882	3.744955778
883	3.742567696
884	3.740869559
885	3.740689143
886	3.739770886
887	3.736277783
888	3.735141063
889	3.734389561
890	3.733734745
891	3.732384006
892	3.731217097
893	3.731115725
894	3.729713329
895	3.728558345
896	3.72441517
897	3.723424019
898	3.723019178
899	3.721552487
900	3.719958133
901	3.718844677
902	3.717071827
903	3.716831768
904	3.713280491
905	3.709340358
906	3.709298864
907	3.70919425
908	3.708782559
909	3.707194446
910	3.705893493
911	3.704810951
912	3.704767366
913	3.7003918
914	3.699421242
915	3.698907462
916	3.698274635
917	3.697702067
918	3.697142396
919	3.69651643
920	3.696237991
921	3.695513325
922	3.695241646
923	3.694636078
924	3.69363454
925	3.691567581
926	3.690879718
927	3.690696733
928	3.690486098
929	3.689868511
930	3.68857022
931	3.687609844
932	3.684555477
933	3.684496657
934	3.683239197
935	3.682775133
936	3.681121903
937	3.680158878
938	3.679628347
939	3.678190925
940	3.674016047
941	3.673743865
942	3.673250376
943	3.67289971
944	3.672152719
945	3.671813606
946	3.670518697
947	3.670049033
948	3.667998734
949	3.667465814
950	3.666672812
951	3.666439922
952	3.665820434
953	3.665738686
954	3.665390746
955	3.665002714
956	3.664912691
957	3.663556884
958	3.662873551
959	3.661793971
960	3.659249991
961	3.65593502
962	3.655908521
963	3.655137878
964	3.655021548
965	3.653544677
966	3.651546772
967	3.649294798
968	3.648558432
969	3.646941476
970	3.646210003
971	3.645085829
972	3.644954896
973	3.642429309
974	3.642337992
975	3.642174705
976	3.641001341
977	3.639874024
978	3.638970426
979	3.637653392
980	3.637376966
981	3.636181795
982	3.634712121
983	3.632339657
984	3.630312406
985	3.628907092
986	3.62498881
987	3.624783923
988	3.622266036
989	3.620284704
990	3.619754089
991	3.619632219
992	3.618196952
993	3.61786955
994	3.617209749
995	3.616071036
996	3.615496509
997	3.612199542
998	3.609064557
999	3.608852608
