iter	Passed	Remaining
0	11	11053
1	12	6147
2	13	4401
3	14	3513
4	14	2962
5	15	2598
6	16	2351
7	17	2174
8	18	2056
9	19	1964
10	21	1922
11	22	1847
12	23	1789
13	24	1729
14	25	1683
15	26	1644
16	27	1600
17	28	1563
18	29	1532
19	30	1501
20	31	1478
21	32	1456
22	33	1438
23	34	1408
24	35	1393
25	36	1359
26	37	1340
27	38	1327
28	39	1312
29	40	1296
30	40	1280
31	41	1262
32	42	1246
33	43	1227
34	43	1211
35	44	1195
36	45	1180
37	46	1173
38	47	1165
39	48	1160
40	49	1155
41	50	1147
42	51	1135
43	51	1126
44	52	1120
45	53	1114
46	54	1107
47	55	1102
48	56	1098
49	57	1092
50	58	1084
51	58	1075
52	59	1067
53	60	1058
54	61	1054
55	62	1050
56	63	1048
57	64	1044
58	65	1042
59	66	1037
60	67	1033
61	68	1029
62	69	1029
63	70	1027
64	71	1023
65	71	1018
66	72	1010
67	73	1005
68	74	1000
69	74	995
70	75	992
71	76	991
72	77	989
73	79	989
74	80	988
75	81	987
76	82	984
77	82	979
78	84	980
79	85	980
80	86	978
81	86	973
82	87	966
83	87	959
84	88	954
85	89	951
86	90	951
87	91	950
88	92	949
89	93	946
90	94	945
91	95	944
92	96	943
93	97	940
94	98	939
95	99	937
96	100	935
97	101	932
98	101	928
99	102	924
100	103	921
101	104	918
102	105	920
103	106	917
104	107	914
105	108	913
106	109	911
107	110	912
108	111	912
109	112	911
110	113	910
111	114	908
112	115	906
113	116	905
114	117	905
115	118	903
116	119	902
117	120	903
118	121	903
119	122	901
120	123	899
121	124	898
122	125	895
123	126	892
124	127	889
125	127	887
126	128	886
127	129	883
128	130	882
129	131	879
130	132	876
131	132	874
132	133	873
133	134	870
134	135	870
135	137	870
136	138	870
137	138	866
138	139	863
139	140	861
140	141	860
141	142	859
142	142	856
143	143	854
144	144	851
145	145	849
146	145	846
147	146	844
148	147	841
149	148	840
150	149	840
151	150	839
152	151	838
153	152	838
154	153	837
155	154	835
156	155	832
157	155	830
158	156	830
159	158	829
160	158	827
161	159	824
162	160	822
163	160	820
164	161	818
165	162	816
166	163	815
167	164	814
168	165	813
169	166	812
170	167	812
171	168	811
172	169	809
173	170	810
174	171	809
175	172	807
176	173	806
177	174	805
178	175	803
179	176	801
180	176	799
181	177	798
182	178	797
183	179	797
184	180	797
185	182	796
186	183	796
187	184	795
188	184	793
189	186	792
190	186	792
191	187	790
192	188	788
193	189	786
194	190	784
195	190	782
196	191	780
197	192	780
198	193	779
199	194	778
200	195	775
201	196	774
202	197	773
203	198	773
204	199	772
205	200	771
206	201	770
